HM_Si,O2_Blow,BLOW_LIME_MATWEIGHT_Combined,BLOW_IRONOR_MATWEIGHT_Combined,BLOW_DOLO_MATWEIGHT_Combined,BIN2_RELATIVE_LANCE_HEIGHT,BIN3_RELATIVE_LANCE_HEIGHT,Delta_Carbon_Weight,BIN2_SECVENTURIOPENING,HM Temp_Combined,RefractoryLife_Combined,Delta_HM_Bath_Temp,ACTOXYGENMOMENT_DOLO,PreviousHeat_BathTemp,HM_Weight,Total_Scrap,loss_radiation_hm,loss_convection_hm,loss_radiation_vessel,loss_convection_vessel
0.48,15292,17050,11837,6813,260.948,231.351,15541.32704,39.521,1370,998,320,1448,1677,316,24.05,1.59E+14,60529.7822,7.95E+15,1661518.321
0.55,15611,19690,14660,6054,253.505,231.451,15677.1838,42.286,1411,999,310,1271,1691,318,30,2.06E+14,72147.78552,7.00E+15,1427156.791
0.61,15590,18389,17985,4948,248.761,242.24,15769.6852,44.917,1392,1004,309,1431,1640,321,25.8,1.65E+14,60348.62508,5.93E+15,1327394.337
0.65,14722,19814,17658,4946,251.594,238.026,14869.70084,46.583,1417,1005,268,1382.5,1695,302,25.3,1.69E+14,58679.36034,3.83E+15,776925.8686
0.65,15459,20668,10539,6476,244.28,241.616,14807.56816,28.061,1359,1008,315,3915.333,1650,303,24.75,3.14E+14,122282.2124,5.82E+15,1271113.261
0.6,15149,20354,11849,6962,244.217,240.359,14640.722,27.938,1361,1009,300,3508.333,1678,299,24.95,6.86E+12,2659.84339,1.07E+16,2214159.406
0.85,14513,21186,11546,6736,244.279,237.3,14587.94492,29,1354,1011,293,2664,1645,297,25.05,1.88E+14,74010.42576,1.30E+16,2855068.29
0.56,14882,19136,7384,6246,244.363,240.535,14811.85316,23.417,1380,1012,261,3743.5,1676,303,25.6,1.02E+15,378943.5525,1.15E+17,23946817.92
0.52,14587,19305,11074,6274,244.217,239.3,14757.27992,25.271,1364,1014,329,1322,1670,302,23.9,1.87E+14,72318.339,5.77E+15,1220548.958
0.51,15637,18859,13877,5978,256.363,245.9,15120.93992,30.729,1397,1015,292,1231,1673,309,25.05,1.29E+14,46699.61085,6.50E+15,1368311.442
0.83,15535,22795,17582,6825,263.3,240.1,15374.066,37.938,1337,1016,323,2320.5,1689,309,25.05,6.07E+13,24969.72271,5.72E+15,1170877.536
0.85,15216,20818,14528,6653,244.299,201.399,14475.33472,35.796,1340,1023,335,1491,1623,300,25.9,2.87E+14,117407.5724,1.38E+16,3188328.121
0.69,15428,20151,12566,5872,244.263,240.884,14460.185,25.396,1366,1025,317,8913.5,1661,300,26.15,1.57E+14,60125.57845,7.20E+15,1542752.931
0.54,15075,18453,11658,8197,244.2,234.138,14392.05448,26.188,1344,1026,308,2059,1689,300,25.25,1.63E+14,65609.97458,5.60E+15,1140870.818
0.5,14499,18440,12493,6187,246.283,240.892,14320.64076,25.104,1385,1027,296,3299.5,1691,298,25.8,1.73E+14,63537.0205,7.47E+15,1514246.745
0.57,15083,19081,15379,5058,243.408,238.345,14832.36326,32.5,1422,1028,282,934,1654,308,24.95,1.31E+14,44419.55797,5.23E+15,1131547.217
0.42,15584,18084,12666,5040,245.866,241.77,15034.11756,26.583,1334,1029,348,1093,1668,310,24.6,6.33E+13,25991.23103,4.58E+15,966758.0619
0.47,15696,18057,13219,5047,242.241,240.553,15304.26564,31.917,1343,1030,318,1088,1686,315,24.35,5.86E+13,23576.532,4.87E+15,997044.4542
0.44,15634,17741,7027,6025,244.241,236.17,14863.6385,28.625,1344,1040,314,0,1635,310,25.15,7.83E+13,31715.33288,4.15E+15,936970.5105
0.57,15695,20135,9835,6179,253.116,250.839,14530.70158,29.917,1386,1041,324,1364,1691,303,25.35,5.90E+13,21813.04136,9.27E+15,1892204.637
0.53,15448,20324,8798,6192,254.283,251.009,14414.19682,31.729,1342,1042,366,1546,1704,300,24.85,1.43E+14,58056.13559,1.19E+16,2376708.408
0.52,15832,20018,9708,6212,250.262,248.356,14936.72496,32.479,1357,1043,311,1677,1669,310,26.6,1.32E+14,52016.48797,4.58E+15,972467.406
0.53,14976,20446,9990,5113,253.22,249.283,14745.35696,31.188,1378,1044,322,4909,1687,305,24.58,1.41E+14,52936.0022,1.20E+16,2476912.936
0.92,14359,23639,16859,5630,243.158,229.2,14564.64712,32.354,1414,1046,255,1413,1696,300,24.75,2.36E+14,82147.63276,7.33E+15,1484349.569
0.65,14936,21723,13271,6602,244.2,244.138,14691.88256,27.771,1342,1048,309,1407,1629,305,25.2,2.92E+13,11801.71241,4.03E+16,9139478.871
0.65,15381,20195,10501,4783,240.905,249.333,14599.06458,25.521,1380,1056,345,1389,1686,301,26.85,2.28E+14,85453.2,9.58E+15,1970751.926
0.66,14904,20401,10729,5494,246.884,248.03,14454.04264,27.125,1325,1063,322,2321,1680,298,26.9,1.85E+13,7818.203,2.81E+16,5856110.836
0.84,14827,21822,15022,5607,238.03,226.68,14708.21968,33.833,1378,1064,296,1283,1676,302,27.9,1.41E+14,52893.01034,6.94E+15,1455466.905
0.59,14176,18608,16818,5654,244.178,239.24,14535.78088,30.583,1436,1067,245,2296,1684,300,25.05,8.50E+13,28240.14576,6.49E+15,1338845.678
0.52,14840,19121,13958,5679,244.24,241.907,14607.1172,26.771,1370,1070,320,1795,1645,300,26.9,5.99E+13,22759.34793,3.10E+16,6838280.724
0.55,14261,18671,15392,5701,244.179,241.785,14573.56208,27.653,1385,1071,275,8257,1680,300,25.4,2.21E+13,8117.505763,7.12E+15,1472486.908
0.66,14453,19782,15055,5343,244.24,239.24,14679.05784,28.063,1385,1072,305,8127.5,1671,301,26.3,9.57E+13,35150.17119,2.94E+15,618134.9989
0.63,15062,18785,15782,6400,249.032,187.416,14806.98358,27.771,1380,1074,275,1348,1608,305,26.15,1.70E+14,63284.18895,7.38E+15,1737581.117
0.56,15099,18784,16244,6565,244.269,221.349,14545.1166,30.313,1349,1076,296,1414,1680,300,25.7,6.62E+13,26345.76,1.35E+16,2792051.526
0.43,14500,18791,15978,6533,230.8,201.367,15286.00544,29.286,1349,1079,303,1406,1660,315,25.65,1.32E+14,52905.33559,8.99E+15,1933761.249
0.5,14221,18749,15826,6528,243.29,223.108,15060.34864,32.714,1365,1080,283,1254,1635,312,24.5,1.67E+14,64282.14508,5.24E+15,1178943.642
0.43,14186,16336,12851,4266,244.373,239.29,15014.62968,29.104,1357,1081,323,1377,1636,310,25.75,7.46E+13,29300.33831,1.10E+16,2467661.703
0.43,13571,17946,9046,6296,244.29,239.29,14452.71276,26.469,1342,1086,306,1423,1645,295,25.75,1.07E+14,43613.22508,1.53E+16,3399263.636
0.56,14207,18958,15302,6318,244.228,239.815,15029.9436,31.375,1375,1087,286,1401,1660,310,26.4,1.00E+14,37939.61085,3.82E+15,824142.2157
0.53,14588,20369,13743,6302,244.27,240.699,14727.40602,30.457,1364,1090,266,1396,1658,302,26.55,5.88E+13,22846.33746,2.42E+15,524526.7153
1,14515,26157,17997,6047,247.331,239.27,15083.68252,49.98,1390,1091,287,8036.5,1672,308,26.25,2.61E+13,9583.817458,7.15E+15,1510425.119
0.77,13778,22640,16142,5329,246.331,239.415,14875.2098,28.082,1363,1092,300,3099.5,1681,302,26.4,3.80E+13,14747.54153,1.18E+16,2441568.606
0.69,14439,19984,17968,6131,244.239,231.26,14877.96708,30.583,1421,1093,248,639,1664,302,25.15,1.47E+14,50237.56068,1.51E+16,3225708.949
0.43,14189,16956,15356,6138,242.489,220.16,14698.35712,31.417,1408,1094,240,6741,1649,302,25.85,2.63E+14,92421.12864,3.65E+16,8008918.531
0.82,15242,21643,11637,5394,231.967,237.856,15053.1291,27.833,1304,1098,379,1421,1691,309,25.65,5.20E+13,23022.57103,1.74E+16,3551403.189
0.7,15739,21126,13046,5409,241.904,253.014,15038.78964,29.104,1358,1099,321,1444,1690,308,25.8,9.86E+13,38669.32746,1.28E+16,2617348.755
0.68,14292,16223,15768,5961,225.749,226.361,15084.73344,39.417,1377,1110,273,1515,1651,308,25.5,2.01E+14,75592.00814,7.81E+15,1705946.522
0.75,14137,20227,18110,6576,231.145,224.97,14779.876,42.354,1410,1111,249,2428,1660,302,25.4,2.45E+14,85618.96305,7.51E+15,1612069.497
0.77,14161,18889,14728,6544,236.148,245.353,14739.82468,30.633,1375,1112,282,2035,1649,300,25.65,3.97E+14,149247.5898,1.07E+16,2351412.506
0.99,14731,25160,16210,6697,249.867,242.467,15287.84852,27.208,1339,1115,314,1384,1671,313,26.7,1.03E+14,41812.61559,7.17E+15,1507482.237
1.08,14686,22442,16107,5263,242.492,243.557,15030.46756,30.458,1429,1116,259,1046,1652,308,25.3,1.88E+14,62879.38448,5.81E+15,1264952.769
0.98,14208,22418,19143,5248,242.115,240.745,14603.88582,32.404,1390,1117,297,1144,1718,299,24.35,1.75E+14,63901.75393,1.04E+16,2021250.948
0.79,14524,16625,17710,5263,243.465,233.533,15263.24844,31.388,1389,1118,291,1165,1672,310,25.8,1.45E+14,52628.02119,5.93E+15,1238514.836
0.84,14130,19323,18256,5283,244.838,230.3,14918.3598,37.383,1402,1119,260,1294,1690,305,24.8,2.05E+14,72425.79356,5.61E+15,1137437.548
0.66,14814,19146,15036,6783,246.486,258.267,15497.79264,32.061,1417,1121,285,1427,1655,315,24.1,2.94E+14,100888.3137,1.43E+16,3091294.259
0.58,14272,18136,17038,6768,246.823,254.241,15089.52984,30.694,1417,1122,251,1421,1676,308,24.85,2.74E+14,94003.14237,8.22E+15,1710963.29
0.63,14790,20105,14775,6253,239.911,239.14,15239.11252,31.521,1345,1129,320,7019.333,1685,312,25.3,4.58E+13,18556.64169,1.59E+16,3286652.191
0.49,13086,18863,13696,4445,239.324,219.14,14387.60428,28.408,1388,1130,288,2960,1694,296,24.25,1.26E+14,46096.57763,7.39E+15,1491332.746
0.54,13438,19068,16530,6315,239.813,235.14,14701.51476,31.755,1372,1132,281,3247,1657,300,26.2,1.95E+14,74000.03898,8.13E+15,1758405.23
