HM_Si,O2_Blow,BLOW_LIME_MATWEIGHT_Combined,BLOW_IRONOR_MATWEIGHT_Combined,BLOW_DOLO_MATWEIGHT_Combined,BIN2_RELATIVE_LANCE_HEIGHT,BIN3_RELATIVE_LANCE_HEIGHT,Delta_Carbon_Weight,BIN2_SECVENTURIOPENING,HM Temp_Combined,RefractoryLife_Combined,Delta_HM_Bath_Temp,ACTOXYGENMOMENT_DOLO,PreviousHeat_BathTemp,HM_Weight,Total_Scrap,loss_radiation_hm,loss_convection_hm,loss_radiation_vessel,loss_convection_vessel
0.6,16400,17036,9166,7724,230.515,229.03,14507.597,22.66,1385,829,301,3000.333,1676,307,25.1,1100000000000000,403395,158000000000000000,32997131
0.8,15307,21417,11653,7022,243.054,251.256,15079.8156,39.354,1364,1796,299,2689,1658,312,25.25,194000000000000,74705,5640000000000000,1215228
0.51,14737,14090,9953,6148,240.242,247.629,14808.40632,32.042,1372,1797,299,2529,1691,307,25.35,131000000000000,49676,8950000000000000,1818942
0.5,14613,17128,9109,5956,243.062,246.986,14377.043,37.149,1365,1798,340,6403.333,1703,295,24.7,149000000000000,57442,28800000000000000,5737772
0.37,14326,15133,8456,5957,242.096,252.95,14049.95016,35.333,1383,1799,271,7700.5,1687,287,24.7,238000000000000,87930,5980000000000000,1222782
0.39,15749,17105,13015,5704,242.511,237.626,14914.85704,33.938,1345,835,310,1778,1640,305,26.25,344000000000000,137905,76400000000000000,16979306
0.35,15279,16139,9790,5771,242.948,236.157,14793.44696,21.604,1365,836,312,1693,1641,306,24.9,323000000000000,123636,15200000000000000,3368071
0.39,15922,16139,9755,5761,243.344,238.36,14764.45932,25.438,1354,838,306,2092,1667,304,25.65,16800000000000,6583,6580000000000000,1387729
0.34,16161,16153,9461,5757,241.323,237.573,15166.93892,27.146,1371,839,286,16161,1656,312,25.1,141000000000000,53254,7220000000000000,1551879
0.55,15559,17162,12959,5463,239.996,236.1,14820.4072,27.333,1361,1800,292,1287,1683,305,25.25,27400000000000,10559,134000000000000000,27356368
0.66,16400,20400,13899,5440,248.198,258.45,14751.70628,30.146,1375,840,302,3062.667,1659,303,25.5,71500000000000,26664,60400000000000000,12892029
0.38,14705,17159,13159,6622,240.377,240.389,14728.28658,32.125,1369,1804,298,1454.5,1688,304,25.15,126000000000000,47947,6540000000000000,1329624
0.43,14599,16634,9694,5959,240.356,239.46,14638.88494,37.667,1340,1805,337,999,1651,302,25.45,268000000000000,108428,13800000000000000,3001761
0.43,15137,16633,13072,5956,240.293,240.166,15310.43308,32.563,1362,1806,300,1826,1679,315,25.9,392000000000000,151094,16000000000000000,3296943
0.79,14303,20196,14872,6499,233.316,229.5,14595.05212,28.612,1363,1814,303,2141,1679,300,25.4,169000000000000,65093,25200000000000000,5207119
0.58,15419,20688,11713,8423,239.708,234.132,14585.73616,30.021,1360,1817,294,1789.667,1650,300,26.55,499000000000000,192632,27300000000000000,5921990
0.75,15829,20207,11949,7078,241.261,247.263,14913.8197,22.292,1341,849,322,3186,1745,306,25.45,336000000000000,135241,22600000000000000,4147432
0.82,16133,23202,12920,7076,240.948,248.198,14516.72876,23.771,1339,850,325,3010.333,1641,298,24.9,302000000000000,122009,12800000000000000,2831219
0.87,15135,21207,15902,7902,241.136,243.843,14951.55956,27.5,1405,851,267,2838,1662,305,24.95,284000000000000,99567,6970000000000000,1481156
0.72,15931,20197,16147,7986,239.439,221.848,15244.66536,32.531,1352,1820,294,6548,1660,315,24.6,227000000000000,89212,11400000000000000,2425783
0.48,14741,16160,11160,6586,241.513,242.394,14743.9297,23.979,1320,855,366,2275.5,1656,303,25.05,158000000000000,67063,19700000000000000,4257791
0.52,14508,17171,13805,6077,239.368,241.142,14594.58024,35.167,1385,856,312,2137.5,1683,300,25.2,191000000000000,70466,22600000000000000,4662513
0.48,15052,16680,13802,6452,238.701,244.68,15395.19612,28.125,1350,857,319,2057.5,1661,315,24.8,279000000000000,110894,6490000000000000,1390680
0.46,15832,16214,13814,6124,241.201,237.862,14849.17244,26.292,1342,859,331,2231.5,1663,315,23.8,337000000000000,136360,12900000000000000,2760040
0.47,15331,16127,12272,6075,241.034,235.364,14676.64836,39.854,1380,860,297,1779,1685,310,25.65,301000000000000,111745,31200000000000000,6389721
0.4,14694,16217,12736,5552,229.847,232.142,14158.83198,27.542,1342,861,308,1830,1666,298,25.15,276000000000000,111050,6480000000000000,1370644
0.42,14798,16148,11544,6059,237.493,234.68,14435.42624,21.5,1348,862,317,1780.5,1650,305,26,291000000000000,115337,14000000000000000,3037155
0.5,14569,16144,11945,5548,241.347,240.295,13878.8868,21.375,1345,863,331,1775,1634,293,25.75,200000000000000,79649,8800000000000000,1968047
0.55,14345,17130,10100,5610,207.653,199.59,13712.10474,24.5,1288,1829,320,1304,1633,290,25.55,250000000000000,113634,89100000000000000,19974144
0.48,15499,17203,10895,5909,238.569,239.09,14468.19148,24.787,1356,1831,302,1674.5,1622,306,25.4,352000000000000,137063,19500000000000000,4454634
0.81,15699,22514,12748,7085,236.472,231.823,14438.78404,28.667,1345,866,307,3923.333,1663,305,25.85,317000000000000,126952,41600000000000000,8837558
0.7,15892,18139,15293,8582,240.638,237.091,14883.1116,27.813,1396,867,284,3287.667,1650,315,25.75,254000000000000,91214,10100000000000000,2206679
0.42,13834,16180,11979,6967,212.507,194.923,14470.37944,30.833,1349,1840,305,2050.5,1660,302,28.25,487000000000000,193819,14900000000000000,3189927
0.45,14560,15125,12704,5494,221.569,219.282,14662.46284,31.833,1349,1841,313,1320,1640,308,26,391000000000000,155472,8080000000000000,1797323
0.4,13740,16132,11912,5485,218.069,206.465,14460.70946,29.25,1362,1844,321,1512,1665,304,26.15,372000000000000,143500,6970000000000000,1479021
0.36,13909,16135,10810,5494,213.937,213.257,14435.96548,24.163,1331,1845,343,1318,1650,304,25,333000000000000,137420,7740000000000000,1687145
0.4,14833,16149,10677,5989,215.007,219.39,14657.1244,24.479,1340,1847,338,2023,1648,307,26.35,326000000000000,131553,5340000000000000,1166800
0.38,14916,16153,10826,5990,222.361,231.057,14786.7991,29.604,1357,1849,307,1450,1658,312,25.05,248000000000000,96262,5960000000000000,1276453
0.28,14672,16084,7025,6991,239.215,239.59,14493.82276,29.75,1351,1850,314,1300,1657,302,25.25,270000000000000,106390,12400000000000000,2671608
0.3,14467,16156,9118,6988,240.423,239.59,14795.28606,28.583,1364,1851,295,1452,1682,312,25.35,350000000000000,134077,9470000000000000,1947737
0.26,14614,16157,8000,6980,240.508,244.898,14703.58644,30.653,1322,1853,332,1393,1656,308,25.75,223000000000000,94037,9680000000000000,2087273
0.56,14830,18186,8030,8900,240.57,240.472,14199.89684,29.551,1321,1854,340,1687.667,1662,300,25.1,180000000000000,75944,5770000000000000,1231524
0.4,14611,15146,7400,5503,240.529,239.59,14035.4039,31.347,1326,1855,351,1303,1642,294,25.35,210000000000000,87927,10200000000000000,2259854
0.27,14850,16168,5323,6999,240.508,239.59,14429.6016,29.776,1319,1856,343,1794,1685,300,24.95,297000000000000,126131,10700000000000000,2196588
0.46,14726,15656,11500,5188,242.59,248.233,14247.21992,33.75,1344,1858,339,2002,1664,299,27.5,388000000000000,156217,6640000000000000,1413451
0.4,14753,15880,11316,6375,246.361,248.804,14996.82602,32.375,1301,1861,381,2017,1659,315,25.35,158000000000000,69929,4860000000000000,1046103
0.52,14638,16761,14001,6291,247.278,250.161,14403.335,35.667,1365,1862,299,3044.667,1652,301,25.35,191000000000000,73456,4810000000000000,1047575
0.4,14672,15147,10718,6213,247.423,247.59,14673.32152,32.5,1339,1863,329,3567.333,1677,308,24.6,203000000000000,82470,5990000000000000,1247841
0.45,14672,15162,10718,6213,247.851,247.519,14560.20548,35.826,1353,1864,336,3567.667,1666,302,25.75,235000000000000,92594,7670000000000000,1628979
0.35,14917,14723,10450,6618,246.923,247.778,14057.70564,34.292,1342,1865,318,3720.5,1664,295,25.2,211000000000000,85250,9810000000000000,2089862
0.38,14759,16145,10434,6062,241.507,239.59,14384.084,30.896,1339,1866,324,1159,1675,301,26.05,260000000000000,105950,7300000000000000,1525155
0.39,15813,16614,6780,8089,239.516,233.319,14592.30886,19.286,1356,878,315,2547.667,1613,305,25.75,216000000000000,84772,8010000000000000,1871976
0.52,15072,17079,12978,6820,249.59,250.414,14854.0428,38.851,1418,1875,245,3570.5,1690,308,25.85,243000000000000,82644,7260000000000000,1467323
